criticality,urgency,safety_risk,asset_importance,overdue,duration_hours,days_until_due,department,asset_type,task_type,corridor_id,high_delay_risk
1,4,4,3,False,5.31,55,Traction Distribution,Signal,Repair,HWH-KOL,0
4,4,5,1,True,1.85,24,Traction Distribution,Signal,Testing,DEL-AGR,0
4,5,4,4,False,3.19,32,S&T,Bridge,Overhaul,MUM-PUN,1
3,5,3,3,True,0.66,12,Engineering,Track,Inspection,BPL-NGP,1
3,4,3,4,True,0.55,52,S&T,Track,Testing,BPL-NGP,0
5,2,2,4,False,4.38,-9,S&T,Signal,Inspection,MAS-BLR,1
1,3,2,4,False,1.15,6,Traction Distribution,Point Machine,Repair,BPL-NGP,0
4,3,4,3,False,3.51,60,Engineering,Bridge,Overhaul,MUM-PUN,1
2,4,1,1,False,4.33,22,Engineering,OHE,Replacement,BPL-NGP,0
1,5,1,1,False,0.68,-1,Engineering,OHE,Replacement,MAS-BLR,0
3,2,2,3,False,2.97,17,Engineering,Bridge,Testing,BPL-NGP,0
5,3,4,2,False,4.26,5,S&T,Track,Overhaul,BPL-NGP,0
4,1,4,4,True,5.39,25,Engineering,Bridge,Testing,HWH-KOL,1
4,4,3,3,False,2.15,3,Engineering,Signal,Repair,MAS-BLR,0
4,3,3,5,True,5.86,15,S&T,Signal,Testing,MUM-PUN,0
4,3,1,1,True,5.14,54,Traction Distribution,Bridge,Repair,HWH-KOL,0
3,3,2,2,True,4.08,-8,S&T,Point Machine,Testing,MUM-PUN,1
1,2,1,4,False,2.66,43,Engineering,OHE,Replacement,DEL-AGR,0
5,3,4,1,False,4.41,-9,Engineering,Signal,Replacement,BPL-NGP,1
3,4,4,2,False,4.99,20,Traction Distribution,OHE,Inspection,DEL-AGR,1
3,2,2,4,False,2.17,36,S&T,Point Machine,Testing,MUM-PUN,0
2,1,2,3,False,5.96,57,S&T,Track,Repair,BPL-NGP,0
1,2,2,4,True,5.5,4,Traction Distribution,Track,Replacement,MUM-PUN,0
5,1,5,3,False,3.17,-11,S&T,Signal,Inspection,MAS-BLR,1
4,2,3,5,False,4.48,42,S&T,OHE,Testing,DEL-AGR,1
4,4,4,5,False,3.38,53,Traction Distribution,Bridge,Repair,HWH-KOL,1
3,1,3,5,True,4.69,28,Engineering,Signal,Overhaul,DEL-AGR,0
5,4,4,1,True,5.05,-10,S&T,Point Machine,Overhaul,DEL-AGR,0
3,2,3,3,False,0.63,23,S&T,Bridge,Replacement,BPL-NGP,0
3,5,2,1,True,0.94,15,Engineering,OHE,Inspection,DEL-AGR,0
3,4,5,2,False,2.35,19,Engineering,Bridge,Repair,MAS-BLR,0
2,2,4,2,False,5.55,-10,Traction Distribution,Bridge,Overhaul,HWH-KOL,0
1,3,4,4,True,2.69,9,Engineering,Point Machine,Replacement,HWH-KOL,0
3,1,5,3,True,5.38,60,S&T,Signal,Replacement,MAS-BLR,1
5,1,2,5,False,3.04,-11,S&T,Signal,Repair,MUM-PUN,1
1,5,1,2,False,2.09,54,Engineering,Bridge,Replacement,MUM-PUN,0
5,5,3,4,False,5.45,24,Engineering,OHE,Inspection,HWH-KOL,1
5,1,2,4,False,3.58,29,S&T,Track,Replacement,BPL-NGP,1
2,2,3,5,False,2.48,56,Traction Distribution,Point Machine,Inspection,MAS-BLR,0
4,1,2,2,False,0.74,2,S&T,Signal,Overhaul,HWH-KOL,0
1,2,2,4,False,1.11,59,S&T,Bridge,Replacement,MUM-PUN,0
4,2,2,1,True,1.27,6,S&T,Bridge,Testing,MAS-BLR,1
4,2,2,3,False,2.51,12,Traction Distribution,Track,Replacement,HWH-KOL,1
2,3,4,3,False,3.84,19,Traction Distribution,Bridge,Inspection,MAS-BLR,0
1,1,3,5,False,2.19,31,Engineering,Bridge,Repair,HWH-KOL,0
5,5,3,4,False,0.86,10,S&T,Point Machine,Testing,DEL-AGR,1
3,4,1,5,False,1.96,45,S&T,Signal,Testing,MAS-BLR,0
5,4,3,5,True,2.75,-13,Engineering,Point Machine,Inspection,BPL-NGP,1
4,1,1,3,False,5.96,35,Traction Distribution,Bridge,Overhaul,MUM-PUN,0
4,4,2,4,False,2.66,35,Engineering,Bridge,Replacement,MAS-BLR,1
4,5,3,1,False,0.99,26,Traction Distribution,OHE,Repair,DEL-AGR,1
1,1,1,3,False,3.7,32,Engineering,Point Machine,Replacement,MAS-BLR,0
2,4,2,1,False,5.56,42,S&T,Signal,Testing,HWH-KOL,0
3,2,2,4,False,4.83,53,Traction Distribution,Signal,Inspection,HWH-KOL,1
3,4,5,5,True,5.1,2,S&T,Point Machine,Testing,DEL-AGR,1
1,3,5,4,True,5.61,21,Engineering,OHE,Inspection,DEL-AGR,0
3,5,1,5,True,4.0,28,Engineering,Signal,Overhaul,BPL-NGP,1
1,1,4,2,False,5.97,11,S&T,Point Machine,Inspection,HWH-KOL,0
4,2,4,5,False,0.68,59,Traction Distribution,Signal,Inspection,DEL-AGR,0
4,2,2,3,False,5.09,24,S&T,OHE,Inspection,BPL-NGP,0
5,2,3,4,False,5.21,30,Engineering,Signal,Testing,BPL-NGP,0
4,2,4,4,False,5.54,0,Traction Distribution,Bridge,Replacement,MUM-PUN,1
2,2,2,4,True,3.13,17,S&T,Bridge,Overhaul,BPL-NGP,0
5,1,1,2,False,4.83,32,Engineering,OHE,Inspection,MAS-BLR,0
3,4,2,4,False,1.57,18,S&T,Point Machine,Testing,HWH-KOL,0
2,3,2,4,False,3.82,43,Engineering,Track,Testing,MUM-PUN,1
5,5,2,5,False,2.47,-4,Traction Distribution,Bridge,Replacement,MAS-BLR,1
2,4,2,3,False,3.78,-3,Traction Distribution,Signal,Testing,MAS-BLR,1
1,1,1,3,False,4.22,11,Engineering,Bridge,Inspection,HWH-KOL,1
3,1,5,3,True,2.41,9,S&T,Bridge,Repair,HWH-KOL,0
4,3,1,1,False,1.69,47,Engineering,Track,Inspection,MAS-BLR,1
1,3,4,1,True,2.27,51,S&T,Track,Inspection,DEL-AGR,1
3,2,4,1,True,4.15,21,Engineering,Point Machine,Testing,MUM-PUN,0
1,4,4,4,True,4.22,23,Traction Distribution,Bridge,Replacement,HWH-KOL,0
4,3,5,3,False,4.58,8,Engineering,Point Machine,Overhaul,BPL-NGP,1
3,4,1,5,False,1.2,25,Traction Distribution,Track,Testing,BPL-NGP,0
2,1,2,4,False,5.0,38,Engineering,Point Machine,Overhaul,MUM-PUN,0
2,5,1,1,False,4.28,40,Engineering,Signal,Repair,MAS-BLR,0
3,2,3,1,True,0.67,58,Traction Distribution,Bridge,Repair,BPL-NGP,0
4,3,4,2,False,2.35,29,Traction Distribution,Bridge,Inspection,HWH-KOL,0
5,3,5,5,True,3.07,11,Engineering,Point Machine,Testing,MAS-BLR,1
